ucla_scale,text_lone,loneliness,la,sr,sb,others,score_lone,text_la,score_la,text_sr,score_sr,text_sb,score_sb
59.0,趣味で充実しているので人間関係は重視していない,False,,,,,2.0,関心が無くどうでも良い,2.0,特に関心が無く気にしていない,3.0,特に関心が無く気にしていない,2.0
62.0,家族と離れて暮らしており、クラスとも馴染めていないから。,True,True,,True,,4.0,友達がいないから。家族との物理的距離が遠いから。,2.0,クラスの子と協力して行う行事のとき、一緒に行事をやった子が仲良く話しかけてくれたから。,3.0,周りに馴染めず、いつも1人で行動ささるから。,2.0
47.0,友達はいるがどれも浅い関係で親友と呼べる人に出会ったことがないから,True,True,,,,2.0,電車が止まったりしたらすぐ親が迎えにきてくれたり連絡がすぐきたりする恋人に深く愛されているねと周りからたくさん言われる,4.0,誕生日パーティーを自分に企画してくれたり誕生日プレゼントをもらえた,4.0,学校や家族が優しくて馴染めていると感じる,4.0
56.0,クラスの中でいつも1人でいること,True,True,,True,,3.0,毎日家族と一緒にごはんを食べること,3.0,試合で頑張ったら、負けてしまったけどコーチや仲間からがんばったねと言われた,3.0,部活に行くとみんなが話しかけてくれるので毎日行きたくなる,4.0
63.0,ふとした時に何かを話せるような相手が(人に限らず)いないと感じる,True,True,,,,3.0,最近受験等もあり周りがみんなピリピリしている。怒られた記憶が多いし、それを愛情とは捉えていない,2.0,様々な役職、仕事をこなしたことの成果はみとめて貰えていると思う。,3.0,ある程度は受け入れられているとは思うが、それが心からのものなのかは疑問を抱いている。それに、もっと適した場所があるようにも思う。,2.0
59.0,自分は親友だと思っている友達がいるが、その友達は私のことを親友だと感じていないように思う,True,True,,True,,3.0,ペットがよく懐いてくれる,3.0,学校で進路のことを頑張ったら先生が褒めてくれた,3.0,学校で浮いている感じがする,2.0
67.0,既にグループ的なものが、できていてついていけてない,True,True,,True,,3.0,ひいおじいちゃんとひいおばあちゃんが、死んで悲しい･寂しい😢,2.0,親に受け入れてくれる,3.0,親に受け入れてくれる,3.0
56.0,なぜかぽっかりと心の穴があいている。どこか寂しい。,True,,,,True,4.0,親からあたたかい言葉をもらった。,3.0,アルバイトでミスをしてしまったが、店長にフォローしてもらえた。,3.0,こんな自分にも優しい人が話しかけてくれた。,3.0
51.0,自分の心を完全に開けている人がいない。,True,True,,,,3.0,恋愛もしていないし家族とも会話が少ない。,2.0,友達と話していると話をよく聞いてもらえる,3.0,先生や友達に自分の存在を認識してもらえている,4.0
57.0,孤独感を感じることはない,False,,,,,2.0,ペットがいつも横にいるから。,3.0,ご飯にたまに誘ってもらえる。,3.0,家族には属していると感じている,3.0
52.0,友だちをつくるのは得意だが、浅い関係で終わるものばかりで、親友と呼べる人がいない。親友に近い関係だと思っている人はいるが、相手には他にも仲良い友だちがいて寂しい,True,True,True,,,3.0,彼氏から、LINEでも直接でもたくさん大好きや愛してると伝えてくれる,3.0,友だちに誕プレを渡したら喜んでもらえた,4.0,大学の学科の雰囲気に馴染めていると感じる,4.0
52.0,自分のことを分かってくれないから,True,,,True,,3.0,友達が仲良くしてくれる,3.0,部活動で必要とされている,3.0,クラスに馴染んでいる感じがするから,3.0
25.0,毎日の学校生活が楽しく、その理由を考えてみると仲の良い友達がたくさんいるから楽しいと感じ、毎日通えているんだなと思ったから。,False,,,,,1.0,家族が、私が好きなものや、喜びそうなものを買ってきてくれるから。,4.0,自分1人で行なった研究内容をまとめたポスターやスライドを先生や学芸員の方に見せたらたくさん褒めていただいたり、他の人にそのポスターを紹介してその研究成果を広めていただいたりした。,4.0,学校の休み時間に、いつも自分の机の周りに友達が集まってきてくれるから。,4.0
38.0,信頼できる人がいるから。,False,,,,,2.0,友達がいろんな話をしてくれる、相談もしやすい。,4.0,バイト終わりにチョコを貰える,4.0,練習終わりに飲み物を奢ってくれる,4.0
54.0,最近、仲がいい友達がずっと来なくて、話せる人が少ない。同じクラスで付き合った人とも別れて気まずい感じになってる,True,True,,,,3.0,彼氏と別れて、愛してくれる人がいない,2.0,友達の友達が私に睨まれたって私の友達な言ってきて私の友達と仲良くなくなっちゃった,2.0,避けられてるような感じがする,2.0
41.0,時々友人と遊んだり、趣味に没頭したりして、孤独感を感じることはほぼない。,False,,,,,1.0,特に特別な行動をしているというわけでもないが、家にいれば安心感を感じるから。,4.0,自分の推しを熱心に友人にお勧めしたら、おすすめしたうちの一人の人の歌を友人が気に入ってくれた。,3.0,学校などで気ままに過ごしていても、居心地の悪さを特に感じないから。,4.0
29.0,常に家族や友人や同僚たちといるから。,False,,,,,2.0,家族や友人から仲良くしているから。,4.0,常に社会と関わっていると思うから。,4.0,家族にも会社にも常に属している実感があるから。,4.0
44.0,一人だとやりやすいことが多い,False,,,,,2.0,家に帰ると家族がおかえりといってくれる,3.0,研究の成果をいろんな人に認められる,3.0,研究活動がとても楽しく馴染めている,3.0
20.0,特に孤独感を感じないからです,False,,,,,1.0,恋人にそう思われていると思うから,4.0,特に何も言われていないから,4.0,仲良くできていると思うから,4.0
24.0,頻繁に会える友達がたくさんいるから,False,,,,,1.0,ほぼ毎日友達と出会っているから,4.0,ボランティア活動をしているから,4.0,介護施設でボランティアをしているから,4.0
60.0,あまり他人との関わりがないから,True,True,,,,3.0,あまり他人との関わりがないから,2.0,あまりイメージが沸かない,2.0,あまり馴染めていないと感じる,2.0
52.0,一人で楽しめる趣味があるのであまり孤独を感じない,False,,,,,2.0,友達とラインをしたり、通話したりするので寂しさはない,4.0,会話の話題についていけず、疎外感を感じる,2.0,クラスで団結して文化祭の企画を成功できた,3.0
60.0,周りに相談出来る相手が少ないと感じるから。,True,True,,,,3.0,ここ最近で愛情を感じたことがないから。,2.0,お金が無いので、周りとの食事や趣味の遊びに付き合えないから。,1.0,あまり周りに馴染めないと感じるから。,2.0
48.0,まずそもそもペットを飼っていません,False,,,,,1.0,人だとは仲良くしてくれている,3.0,頑張れば頑張った分がけ成果くる,3.0,みんなの雰囲気がよく仲間に入りやすい,3.0
50.0,なぜ孤独感を感じるのか思考を巡らせて、結論に辿り着いた時、孤独感を抱く必要がないことに気づいたから。,False,,,,,2.0,身を案じてくれる家族や親族がいるから。,4.0,LINEの返信が早いこと。,4.0,何というか、周りの人たちはほとんどまともに国内外の状況を正確に理解しておらず、考えてもいない。,2.0
62.0,コロナで人との交流がない時期に学校を卒業し、就職し、そして退職したから,True,True,,,,4.0,犬が結構心の癒しになってくれている,3.0,自治会のお手伝いには出るようにしている,3.0,特にないが、親との同居でそこそこボランティアなどしているから,3.0
37.0,彼女がしばらくいないから,True,True,,,,3.0,彼女がしばらくいないから,2.0,仕事が終わったら、また仕事をもらえるから,4.0,仕事が終わったら、また次の仕事をもらえるから,4.0
61.0,職場で他の職員とあまり話せない,True,True,,,,3.0,休みの日に一緒に出かけられるから,3.0,職場でいつもより頑張っても、あまり誉めてもらえない,2.0,職場で話題をふられず、避けられているようにかんじるから,2.0
49.0,常に家族がおり、友達もいるから。,False,,,,,2.0,毎日、ご飯を作ってくれる,3.0,仕事で頑張ったことでありがとうと客に感謝された,3.0,職場に馴染めていると感じるから,3.0
35.0,色々な地にひとりで旅へ行っているのでひとりになれている,False,,,,,2.0,家のなかで返事が帰ってくるから,3.0,親しい友達には誕生日に何かしらのモノをプレゼントしているのでお返しがなにかしらで帰ってくる。,4.0,しばらく忙しくて会話していないディスコードグループがあるが会話し始めるともともといたかのような雰囲気になるから戻りたい,4.0
59.0,周りとの関係性が乏しいため,True,,True,,,3.0,猫が可愛いから癒される,3.0,掃除など頑張っても感謝はされない,2.0,周囲との能力の差を感じる,2.0
50.0,たくさんの友達といつも授業を受けている,False,,,,,2.0,たくさんの友達が遊んでくれる,3.0,バイトで良いところは褒められる,3.0,バイトの一員だと思われている,3.0
70.0,他の人と話す機会が少ないから自分の気持ちを言う機会がないから,True,,True,,,4.0,実家に帰ったらいつでも迎えてくれるから,3.0,陰口を言われている気がするから,2.0,周りに馴染めていないから,1.0
36.0,ふとした時に友達に電話してもみんな出れないとかに阻害感を感じる,True,True,,True,,3.0,返事が帰ってかるから！,3.0,誰にも言わないで行った行動を周りが見えてるね！ってとても褒めてくれる。,4.0,バイト先で毎回そこ気づくの偉い！と褒められる,4.0
37.0,家族、友人との関係は良好なので。,False,,,,,2.0,家族からは大切にしてもらえているので。,3.0,職場での人間関係が良好なので。,4.0,社会人として生活しているので。,4.0
72.0,人と7年間くらい喋っていないから。,True,,True,,,4.0,猫以外と関わらないから。,2.0,社会と関わりを持っていないから。,2.0,家族ともまともに喋らないから。,2.0
65.0,大学に入学してから4年間友達がいなくて寂しい,True,True,,,,4.0,そもそも友達がいない,2.0,勇気を出して話しかけたらその時だけ仲良くしてくれる人がいた,3.0,業務上のことしか喋らないため仲間という認識が薄い,2.0
46.0,周りに友達と呼べる人が居る,False,,,,,2.0,何でも話せる友達が居る,3.0,友達が困って居る時に相談相手に成った時,3.0,自分の関係してる人間関係が良い,3.0
49.0,友達がいていざという時に頼ることができる。,False,,,,,2.0,昔ペットが亡くなり悲しい,3.0,陰口を言われている気がする,3.0,もう全然家族と会っていない,3.0
72.0,周りの人との話題が無い。どうやって話を繋げたらいいのか分からない。,True,True,,,,4.0,基本一人で愛情を感じる場面が思い当たらない。,1.0,何事も無く日常を送れている点で不満はない。,1.0,会社に籍を置いてそれなりには生活できていると思う。,4.0
46.0,小学生時代のSNSグループから外されてから一人になることが増えた,True,True,True,,,3.0,幼馴染の友人にメッセージを送ると余程でなければ早く帰ってくる,3.0,趣味同士のSNSで繋がってるユーザーと同年齢だと判明した以降、相手から好意を持たれるようになった,3.0,最初は自分から話しかけることが多く、話しかけていくうちに相手側からも話しかけてくるようになった,3.0
40.0,自分の人生を真剣に生きているため、他人のことを考えることもない。,False,,,,,2.0,家に帰ると家族が暖かく迎えてくれて満たされている。,4.0,仕事も学業も順調で満足している。,4.0,毎日所属する場所があり、満足している。,4.0
68.0,ゼミ活動で浮いてしまっている。,True,,,True,,3.0,1人暮らしで親しい友人もいないため,1.0,久しぶりに学校で会った友達に食事を誘ったら一緒に食べてもらえた,3.0,ゼミやバイト先でも浮いているようなポジションだから,2.0
43.0,転勤で大学時代までいた場所を離れたため、中々友人と遊んだり飲みに行ったりできない,True,True,,,,3.0,恋人がいるので直接言葉にする傾向にはないが、好きでいてくれると思うから。,3.0,自分の行っている仕事に関して、上司と振り返り面談をする時、頑張ってくれていると評価してくれた時,3.0,自分の仕事に対して評価してくれる環境なので、馴染めてもいると感じる。,3.0
68.0,趣味を話せる知り合いがいないので寂しい,True,True,,,,4.0,そもそも愛情を受け取ったことがない。（毒親など）,1.0,なんとか今の会社でやれているため,3.0,雰囲気だがそう思うから,3.0
50.0,自分の本当の悩みを話せる人が周りにいないから,True,True,,,,3.0,親友といる時間が幸せ,3.0,うつ病で休職しているから,2.0,うつ病で仕事に復帰できるかとても不安だから,2.0
51.0,仲の良い友だちが複数人いるから。,False,,,,,2.0,仲の良い友だちが複数人いるから。,3.0,友だちを遊びに誘って行けたから。,3.0,学校に馴染めていると感じる,3.0
33.0,フッ軽な友達がいて、いつでも遊びに行けるため,False,,,,,1.0,ペットを買ったことがないため,1.0,バイトで頼りにされているため,4.0,バイトで頼りにされているため,3.0
53.0,休みの日に何も予定がない時がある仕事関係もなんとも言えない,False,,,,,3.0,たまにしか友達とラインしていない,2.0,仕事で全然休みを取らせてくれない,2.0,仕事に誇りなど大してない,2.0
45.0,他の人のことを気にしたことない,False,,,,,2.0,ペットが死んで悲しい,2.0,そのような友人関係はない,2.0,知らない人と関わる意味が無い,2.0
32.0,1人で何かをしたりするのは好きなので特に感じない。,False,,,,,1.0,他人にあまり興味がないので気にしない,3.0,学校でも仲間の中に馴染み頼られる部分もある,3.0,学校にも家庭にも居場所があり満足している,3.0
42.0,一人で楽しめる趣味があるので孤独感はない,False,,,,,2.0,家に必ず誰かしらの家族いるから,3.0,友達の誕生日にプレゼントしたら喜んでもらえた,3.0,職場に馴染めていると感じる,3.0
55.0,1人暮らしをしているがたまに人肌恋しくなる時がある,True,True,,,,3.0,友達とも時間が合わないので連絡が取れなくなっており寂しい,2.0,仕事面で上司•同僚から信頼を得ている,3.0,基本1人で仕事しているため、集団の一員である自覚が薄い,2.0
47.0,友人が上京したため、会う機会がなくなった。,True,True,,,,3.0,家族と話す機会が多い。友人と通話することがある。,3.0,友人と久々に会うために飲み会に誘ったら、全員集まった。,3.0,友人達の集まりでは、馴染めていると思う。,3.0
46.0,一人で行動するのが好きな為特に気にしない,False,,,,,2.0,帰宅して恋人が話し相手になってくれているから,4.0,仕事での成果をしっかりとほめてくれる上司がいる,4.0,職場にうまくなじめていると感じている為,4.0
53.0,友人は複数いるが、本当に大切に思ってくれているか不安になることがあるから。,True,True,,True,,3.0,家族との関係はそこまで悪くないから。,3.0,変な人もいるが、大抵の人は自分と普通に接してくれるし、仲間はずれにされるようなことはないから。,3.0,1つの長く在籍するコミュニティーでは自分らしさを発揮できるから。,3.0
34.0,よくはなすひとはいます。,False,,,,,1.0,よくほめられたりします。,4.0,いろいろなひとにみとめられてます。,4.0,いろいろなひとにみとめられてます。,4.0
49.0,就職で仲がいい友人と物理手距離が離れてしまった,True,True,,,,3.0,週末に友人や恋人と接触する,3.0,恋人の誕生日にサプライズしたら喜んでもらえた,3.0,職場である程度は仕事を振られる,3.0
34.0,趣味などを通じて知り合った仲間がいるため。,False,,,,,2.0,人並みの愛情は受けられていると思っているため。,3.0,ゲームの上級者対戦で良い結果を出し、メンバーに褒められた。,3.0,避けられていると感じることはないため。,3.0
56.0,趣味ややりたいことにぼっとうして孤独感や寂しい気持ちはない,False,,,,,4.0,家族が家で待っていると満たされる,4.0,家族の誕生日やイベント時にはお祝いをして喜んでもらえる,4.0,職場の仲間はみんな優しさ向かえてくれる,4.0
46.0,趣味や運動をしていると孤独をかんじることはないから,False,,,,,2.0,たまに友達とカラオケに行ったりして寂しくないから。,3.0,研究の発表を褒められたり、認められて嬉しい気持ちになりました、,3.0,後輩に相談されて頼られていると感じました。,3.0
